Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_d3a5dd4633eac3ce2b2b1a9962e6a60c,united america indemnity,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 466]>","<[2009.0, 2010.0]>",
company_ab453497a128dba28c6d15a819cc5943,united luxembourg investments,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 460]>","<[2010.0, 2011.0]>",
company_0c960f6a52aa05de517825c0e523f763,united technologies corporation,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2010.0, 2011.0, 467 | 468]>","<[2010.0, 2011.0]>",
company_720578d02bd08476786b99bdbf8472c9,upline,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 469]>","<[2009.0, 2010.0]>",
company_81d51fcb0b27b30464d3d7629796ed36,value-call,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 470]>","<[2009.0, 2010.0]>",
company_c47621ea7e5054986e5fb49c310d968f,vastned offices / industrial nv,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 471]>","<[2009.0, 2010.0]>",
company_5525ff59adcaac313923ab89d0a618c5,verizon,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 472]>","<[2010.0, 2011.0]>",
company_54a49bbee928a55a8075538515bb9172,vermilion energy trust,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 473]>","<[2009.0, 2010.0]>",
company_77841d6f8922e75181757fc39b92b1b8,veronis suhler stevenson / lanetro zed,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 474]>","<[2009.0, 2010.0]>",
company_2ea1b2d890e0b13f2c79f64428381d3c,versorgungswerk der zahnÃ¤rztekammer westfalen lippe / Ã¤rztekammer westfalen lippe (joint venture),"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 475 | 476]>","<[2009.0, 2010.0]>",
company_1ce7b285b07c3b6eab32a641a9bc38de,vistec electronic beam lithography group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 477]>","<[2010.0, 2011.0]>",
company_6b9f58246529f25acc2d09440f40df00,vitec group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 478]>","<[2009.0, 2010.0]>",
company_35106f38615a07a8fe755385c606d1d2,vitruvian partners,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 479); [2010.0, 2011.0, 480]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_b2a3e3d84ecf317711b3750443922169,viva group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 481]>","<[2009.0, 2010.0]>",
company_8dda65453781d2fc9794de9e4e4bf723,vkgp,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 482]>","<[2010.0, 2011.0]>",
